id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '08:58:00'}",-6.78,-0.59,0.94,6.87,185.01,7.84,4.22,408.0,116929.0
"{'date': '2019-11-05', 'time': '08:59:00'}",-6.9,-0.43,0.84,6.96,183.55,6.89,3.99,409.1,118847.0
"{'date': '2019-11-05', 'time': '09:00:00'}",-6.85,-0.6,0.65,6.9,185.01,5.4,3.78,408.8,120284.0
"{'date': '2019-11-05', 'time': '09:01:00'}",-6.83,-0.69,0.73,6.9,185.77,6.11,4.33,408.3,117094.0
"{'date': '2019-11-05', 'time': '09:02:00'}",-6.81,-0.51,0.64,6.86,184.3,5.36,4.39,409.4,121192.0
"{'date': '2019-11-05', 'time': '09:03:00'}",-6.89,-0.4,0.41,6.91,183.34,3.41,5.08,420.9,166487.0
"{'date': '2019-11-05', 'time': '09:04:00'}",-6.87,-0.35,0.44,6.89,182.88,3.7,5.47,422.0,179284.0
"{'date': '2019-11-05', 'time': '09:05:00'}",-6.92,-0.44,0.61,6.96,183.64,5.01,3.89,407.7,108638.0
"{'date': '2019-11-05', 'time': '09:06:00'}",-6.82,-0.41,1.02,6.91,183.48,8.46,3.72,404.2,99745.0
"{'date': '2019-11-05', 'time': '09:07:00'}",-6.82,-0.36,1.17,6.92,183.03,9.76,3.75,406.3,106135.0
"{'date': '2019-11-05', 'time': '09:08:00'}",-6.96,-0.35,0.7,7.0,182.89,5.78,3.46,403.1,103190.0
"{'date': '2019-11-05', 'time': '09:09:00'}",-6.95,-0.34,0.5,6.98,182.81,4.1,3.54,406.0,104167.0
"{'date': '2019-11-05', 'time': '09:10:00'}",-6.92,-0.35,0.56,6.96,182.86,4.66,3.5,406.7,99985.0
"{'date': '2019-11-05', 'time': '09:11:00'}",-6.9,-0.32,0.56,6.93,182.66,4.64,3.22,404.7,93851.0
"{'date': '2019-11-05', 'time': '09:12:00'}",-6.9,-0.29,0.86,6.96,182.4,7.09,3.68,409.5,109145.0
"{'date': '2019-11-05', 'time': '09:13:00'}",-6.86,-0.49,0.16,6.88,184.07,1.36,4.16,413.9,122302.0
"{'date': '2019-11-05', 'time': '09:14:00'}",-6.98,-0.04,-0.45,6.99,180.34,-3.68,3.99,409.4,97479.0
"{'date': '2019-11-05', 'time': '09:15:00'}",-6.96,0.36,-0.71,7.0,177.02,-5.82,4.35,409.5,79627.0
"{'date': '2019-11-05', 'time': '09:16:00'}",-6.93,0.45,-0.58,6.97,176.26,-4.76,4.84,418.1,112229.0
"{'date': '2019-11-05', 'time': '09:17:00'}",-6.91,0.07,-0.56,6.94,179.42,-4.66,4.67,412.4,99551.0
"{'date': '2019-11-05', 'time': '09:18:00'}",-6.92,0.08,-0.65,6.95,179.38,-5.36,2.55,396.3,66522.0
"{'date': '2019-11-05', 'time': '09:19:00'}",-6.94,0.25,-0.87,7.0,177.97,-7.12,4.21,415.8,123244.0
"{'date': '2019-11-05', 'time': '09:20:00'}",-6.9,0.22,-0.81,6.95,178.21,-6.7,3.82,408.2,91799.0
"{'date': '2019-11-05', 'time': '09:21:00'}",-6.97,0.27,-0.77,7.02,177.75,-6.3,4.0,405.7,72847.0
"{'date': '2019-11-05', 'time': '09:22:00'}",-6.93,0.42,-0.88,7.0,176.51,-7.22,3.95,409.8,108596.0
"{'date': '2019-11-05', 'time': '09:23:00'}",-6.98,0.52,-0.71,7.03,175.77,-5.79,3.93,408.6,94818.0
"{'date': '2019-11-05', 'time': '09:24:00'}",-6.98,0.5,-0.72,7.03,175.89,-5.91,3.82,406.7,80771.0
"{'date': '2019-11-05', 'time': '09:25:00'}",-6.97,0.47,-0.67,7.02,176.15,-5.44,3.98,408.7,97141.0
"{'date': '2019-11-05', 'time': '09:26:00'}",-6.87,0.47,-0.61,6.91,176.11,-5.04,3.96,409.7,99896.0
"{'date': '2019-11-05', 'time': '09:27:00'}",-6.85,0.64,-0.45,6.9,174.63,-3.78,3.88,408.5,85589.0
"{'date': '2019-11-05', 'time': '09:28:00'}",-7.03,0.33,-0.39,7.05,177.31,-3.19,3.78,409.0,89620.0
"{'date': '2019-11-05', 'time': '09:29:00'}",-6.98,0.7,-0.63,7.04,174.31,-5.17,3.81,410.0,97953.0
"{'date': '2019-11-05', 'time': '09:30:00'}",-6.99,0.7,-0.65,7.05,174.31,-5.27,3.9,409.2,93275.0
"{'date': '2019-11-05', 'time': '09:31:00'}",-6.92,0.87,-0.65,7.01,172.87,-5.34,3.83,409.0,97107.0
"{'date': '2019-11-05', 'time': '09:32:00'}",-6.99,0.73,-0.08,7.03,174.05,-0.68,3.86,409.0,94740.0
"{'date': '2019-11-05', 'time': '09:33:00'}",-6.95,0.72,0.04,6.98,174.05,0.3,3.55,408.3,91412.0
"{'date': '2019-11-05', 'time': '09:34:00'}",-6.92,0.77,-0.11,6.97,173.65,-0.9,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '09:35:00'}",-6.94,0.71,-0.21,6.98,174.15,-1.72,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '09:36:00'}",-6.95,0.73,-0.23,6.99,173.98,-1.87,3.29,406.8,84037.0
"{'date': '2019-11-05', 'time': '09:37:00'}",-6.82,0.71,-0.17,6.86,174.03,-1.39,3.53,406.6,82985.0
"{'date': '2019-11-05', 'time': '09:38:00'}",-6.76,0.72,-0.07,6.8,173.95,-0.6,3.64,408.3,97759.0
"{'date': '2019-11-05', 'time': '09:39:00'}",-6.73,0.73,-0.26,6.77,173.8,-2.23,4.15,409.6,110128.0
"{'date': '2019-11-05', 'time': '09:40:00'}",-6.72,0.69,-0.23,6.76,174.12,-1.93,4.11,410.8,113621.0
"{'date': '2019-11-05', 'time': '09:41:00'}",-6.79,0.64,-0.28,6.83,174.61,-2.33,4.01,409.2,106659.0
"{'date': '2019-11-05', 'time': '09:42:00'}",-6.76,0.72,-0.36,6.81,173.95,-3.06,4.07,409.7,110646.0
"{'date': '2019-11-05', 'time': '09:43:00'}",-6.76,0.89,-0.21,6.83,172.48,-1.8,4.11,410.6,114582.0
"{'date': '2019-11-05', 'time': '09:44:00'}",-6.79,0.91,-0.11,6.85,172.34,-0.94,3.93,408.9,108270.0
"{'date': '2019-11-05', 'time': '09:45:00'}",-6.83,0.74,0.14,6.87,173.77,1.16,3.85,406.4,100331.0
"{'date': '2019-11-05', 'time': '09:46:00'}",-6.78,0.78,-0.04,6.82,173.42,-0.31,4.07,408.1,106284.0
"{'date': '2019-11-05', 'time': '09:47:00'}",-6.77,0.71,-0.12,6.8,174.04,-1.04,4.22,410.2,115797.0
"{'date': '2019-11-05', 'time': '09:48:00'}",-6.8,0.44,-0.17,6.82,176.26,-1.42,4.45,408.0,115338.0
"{'date': '2019-11-05', 'time': '09:49:00'}",-6.87,-0.1,-0.37,6.88,180.83,-3.12,5.0,423.1,162528.0
"{'date': '2019-11-05', 'time': '09:50:00'}",-6.97,0.35,-0.61,7.01,177.16,-4.99,4.62,410.4,117186.0
"{'date': '2019-11-05', 'time': '09:51:00'}",-7.03,0.01,-0.5,7.05,179.9,-4.09,3.58,390.0,76173.0
"{'date': '2019-11-05', 'time': '09:52:00'}",-6.99,-0.36,-0.77,7.04,182.96,-6.26,4.57,415.2,156598.0
"{'date': '2019-11-05', 'time': '09:53:00'}",-6.97,0.05,-0.14,6.97,179.57,-1.13,4.1,415.9,135156.0
"{'date': '2019-11-05', 'time': '09:54:00'}",-6.57,-0.94,0.9,6.7,188.15,7.72,3.98,402.0,95120.0
"{'date': '2019-11-05', 'time': '09:55:00'}",-6.74,-0.2,-0.14,6.74,181.69,-1.17,5.12,420.0,160873.0
"{'date': '2019-11-05', 'time': '09:56:00'}",-7.02,0.08,-0.46,7.04,179.37,-3.71,5.14,413.0,138932.0
"{'date': '2019-11-05', 'time': '09:57:00'}",-7.03,0.0,-0.46,7.04,180.02,-3.77,4.11,405.5,104661.0
"{'date': '2019-11-05', 'time': '09:58:00'}",-6.97,0.77,-0.29,7.02,173.72,-2.4,4.19,409.3,106821.0
"{'date': '2019-11-05', 'time': '09:59:00'}",-6.95,-0.2,-0.47,6.97,181.67,-3.83,4.41,411.0,116461.0
"{'date': '2019-11-05', 'time': '10:00:00'}",-6.92,0.47,-0.48,6.95,176.1,-3.93,4.12,408.8,111299.0
"{'date': '2019-11-05', 'time': '10:01:00'}",-6.94,0.54,-0.59,6.98,175.53,-4.84,3.92,407.6,108074.0
"{'date': '2019-11-05', 'time': '10:02:00'}",-6.96,0.4,-0.61,7.0,176.72,-5.03,4.02,408.2,118493.0
"{'date': '2019-11-05', 'time': '10:03:00'}",-6.95,0.32,-0.5,6.97,177.37,-4.14,4.04,409.1,121703.0
"{'date': '2019-11-05', 'time': '10:04:00'}",-6.82,0.73,-0.74,6.89,173.92,-6.16,3.89,407.9,110828.0
"{'date': '2019-11-05', 'time': '10:05:00'}",-6.86,0.64,-0.52,6.91,174.64,-4.31,4.07,409.7,119347.0
"{'date': '2019-11-05', 'time': '10:06:00'}",-6.87,0.47,-0.48,6.9,176.09,-3.95,3.94,410.0,124999.0
"{'date': '2019-11-05', 'time': '10:07:00'}",-6.84,0.72,-0.52,6.9,173.98,-4.36,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '10:08:00'}",-6.57,1.73,-0.54,6.81,165.23,-4.55,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '10:09:00'}",-6.49,1.72,-0.65,6.75,165.2,-5.53,3.58,410.3,109898.0
"{'date': '2019-11-05', 'time': '10:10:00'}",-6.57,1.6,-0.77,6.81,166.32,-6.52,3.85,409.6,109806.0
"{'date': '2019-11-05', 'time': '10:11:00'}",-6.55,1.35,-0.84,6.74,168.34,-7.15,3.78,408.4,119314.0
"{'date': '2019-11-05', 'time': '10:12:00'}",-6.06,2.72,-0.77,6.68,155.78,-6.63,3.76,407.9,114099.0
"{'date': '2019-11-05', 'time': '10:13:00'}",-6.37,2.04,-0.56,6.71,162.26,-4.78,3.72,408.3,113452.0
"{'date': '2019-11-05', 'time': '10:14:00'}",-6.27,1.58,-0.85,6.52,165.88,-7.45,4.11,408.2,127260.0
"{'date': '2019-11-05', 'time': '10:15:00'}",-6.27,1.31,-1.15,6.5,168.23,-10.17,4.49,407.5,133937.0
"{'date': '2019-11-05', 'time': '10:16:00'}",-6.18,1.79,-1.16,6.53,163.83,-10.2,4.28,410.5,121444.0
"{'date': '2019-11-05', 'time': '10:17:00'}",-5.88,2.49,-2.31,6.79,157.08,-19.9,3.91,411.7,107474.0
"{'date': '2019-11-05', 'time': '10:18:00'}",-6.16,2.39,-1.35,6.75,158.77,-11.52,3.93,408.6,103103.0
"{'date': '2019-11-05', 'time': '10:19:00'}",-6.16,2.59,-0.66,6.72,157.24,-5.63,4.27,410.4,107300.0
"{'date': '2019-11-05', 'time': '10:20:00'}",-6.21,2.8,-0.19,6.81,155.76,-1.61,4.47,411.4,109679.0
"{'date': '2019-11-05', 'time': '10:21:00'}",-6.16,2.88,-0.3,6.81,154.96,-2.55,3.55,398.9,70862.0
"{'date': '2019-11-05', 'time': '10:22:00'}",-5.89,2.7,-1.33,6.62,155.36,-11.61,2.24,411.1,100236.0
"{'date': '2019-11-05', 'time': '10:23:00'}",-5.91,2.41,-1.45,6.55,157.86,-12.79,3.07,415.0,120916.0
"{'date': '2019-11-05', 'time': '10:24:00'}",-5.67,2.22,-1.61,6.3,158.6,-14.8,2.51,401.9,103625.0
"{'date': '2019-11-05', 'time': '10:25:00'}",-4.91,3.32,-1.16,6.04,145.92,-11.04,2.9,408.6,116443.0
"{'date': '2019-11-05', 'time': '10:26:00'}",-4.04,3.5,-2.43,5.87,139.05,-24.46,5.19,423.8,174174.0
"{'date': '2019-11-05', 'time': '10:27:00'}",-4.43,2.81,-2.49,5.81,147.67,-25.36,5.12,418.5,127269.0
"{'date': '2019-11-05', 'time': '10:28:00'}",-4.19,2.2,-1.66,5.02,152.31,-19.35,6.05,425.1,166732.0
"{'date': '2019-11-05', 'time': '10:29:00'}",-3.83,1.99,-2.21,4.85,152.52,-27.12,5.99,423.9,164043.0
"{'date': '2019-11-05', 'time': '10:30:00'}",-3.18,2.07,-2.07,4.32,146.89,-28.61,4.05,407.7,107151.0
"{'date': '2019-11-05', 'time': '10:31:00'}",-1.83,2.91,-1.35,3.7,122.18,-21.46,4.75,411.1,118412.0
"{'date': '2019-11-05', 'time': '10:32:00'}",-1.83,3.37,-1.85,4.26,118.54,-25.74,6.08,419.9,141044.0
"{'date': '2019-11-05', 'time': '10:33:00'}",-2.62,3.26,-2.09,4.67,128.77,-26.57,5.15,410.7,106129.0
"{'date': '2019-11-05', 'time': '10:34:00'}",-3.18,2.68,-2.94,5.09,139.79,-35.26,4.41,404.9,84036.0
"{'date': '2019-11-05', 'time': '10:35:00'}",-3.72,1.4,-2.9,4.91,159.38,-36.1,5.39,414.7,110157.0
"{'date': '2019-11-05', 'time': '10:36:00'}",-3.42,1.01,-2.87,4.58,163.56,-38.85,5.53,414.2,120387.0
"{'date': '2019-11-05', 'time': '10:37:00'}",-2.72,2.07,-2.9,4.48,142.82,-40.3,5.11,415.3,123375.0
"{'date': '2019-11-05', 'time': '10:38:00'}",-3.18,2.3,-2.76,4.8,144.1,-35.16,4.64,411.5,89165.0
"{'date': '2019-11-05', 'time': '10:39:00'}",-3.38,1.88,-2.81,4.78,150.89,-36.0,4.85,416.8,142106.0
"{'date': '2019-11-05', 'time': '10:40:00'}",-3.7,1.08,-2.69,4.7,163.75,-34.86,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '10:41:00'}",-3.98,1.42,-2.19,4.75,160.39,-27.38,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '10:42:00'}",-3.78,1.8,-2.04,4.65,154.55,-25.97,5.6,421.0,168668.0
"{'date': '2019-11-05', 'time': '10:43:00'}",-3.43,1.82,-2.18,4.45,152.03,-29.26,5.22,416.7,132018.0
"{'date': '2019-11-05', 'time': '10:44:00'}",-3.42,2.02,-2.26,4.57,149.4,-29.68,4.92,411.3,94871.0
"{'date': '2019-11-05', 'time': '10:45:00'}",-3.62,2.49,-2.36,4.99,145.52,-28.27,5.3,417.4,136478.0
"{'date': '2019-11-05', 'time': '10:46:00'}",-1.3,2.17,-3.19,4.06,120.86,-51.59,4.56,408.7,103631.0
"{'date': '2019-11-05', 'time': '10:47:00'}",0.53,1.98,-3.47,4.03,75.07,-59.48,5.01,406.7,81825.0
"{'date': '2019-11-05', 'time': '10:48:00'}",2.5,-0.23,-2.93,3.86,354.85,-49.42,5.73,411.2,97384.0
"{'date': '2019-11-05', 'time': '10:49:00'}",3.07,-0.04,-2.63,4.05,359.32,-40.56,5.63,416.7,98910.0
"{'date': '2019-11-05', 'time': '10:50:00'}",3.16,0.37,-2.72,4.19,6.76,-40.45,5.8,423.9,90172.0
"{'date': '2019-11-05', 'time': '10:51:00'}",3.17,0.87,-2.98,4.43,15.32,-42.21,6.1,426.3,88633.0
"{'date': '2019-11-05', 'time': '10:52:00'}",2.92,0.59,-2.66,4.0,11.48,-41.77,5.7,427.2,89512.0
"{'date': '2019-11-05', 'time': '10:53:00'}",3.0,0.03,-2.5,3.91,0.6,-39.74,5.56,426.1,101070.0
"{'date': '2019-11-05', 'time': '10:54:00'}",3.61,0.2,-2.01,4.14,3.17,-29.01,6.33,430.9,95324.0
"{'date': '2019-11-05', 'time': '10:55:00'}",3.74,0.07,-1.88,4.19,1.08,-26.71,6.31,437.1,80910.0
"{'date': '2019-11-05', 'time': '10:56:00'}",3.85,-0.17,-1.72,4.22,357.4,-24.14,6.28,436.2,84699.0
"{'date': '2019-11-05', 'time': '10:57:00'}",4.06,-0.49,-1.64,4.4,353.14,-21.79,6.32,435.9,87150.0
"{'date': '2019-11-05', 'time': '10:58:00'}",4.17,-0.24,-1.73,4.52,356.66,-22.46,6.35,445.2,113021.0
"{'date': '2019-11-05', 'time': '10:59:00'}",4.15,-0.58,-1.47,4.44,351.98,-19.37,6.08,437.8,86901.0
"{'date': '2019-11-05', 'time': '11:00:00'}",4.47,-0.68,-0.74,4.58,351.37,-9.29,5.53,421.0,62058.0
"{'date': '2019-11-05', 'time': '11:01:00'}",4.26,-1.71,-0.5,4.62,338.18,-6.23,5.55,425.7,65355.0
"{'date': '2019-11-05', 'time': '11:02:00'}",4.16,-1.81,-0.61,4.58,336.52,-7.63,5.94,429.9,78682.0
"{'date': '2019-11-05', 'time': '11:03:00'}",4.13,-2.01,-0.91,4.68,334.0,-11.26,5.28,416.2,63910.0
"{'date': '2019-11-05', 'time': '11:04:00'}",4.23,-1.9,-0.28,4.64,335.79,-3.41,4.76,411.8,54390.0
"{'date': '2019-11-05', 'time': '11:05:00'}",4.28,-1.74,-0.59,4.66,337.88,-7.24,5.47,424.1,73479.0
"{'date': '2019-11-05', 'time': '11:06:00'}",4.22,-1.69,-0.77,4.61,338.2,-9.57,6.39,433.2,85415.0
"{'date': '2019-11-05', 'time': '11:07:00'}",3.89,-1.85,0.87,4.39,334.6,11.48,6.8,437.7,88886.0
"{'date': '2019-11-05', 'time': '11:08:00'}",3.86,-2.03,0.82,4.43,332.24,10.71,6.94,441.0,112126.0
"{'date': '2019-11-05', 'time': '11:09:00'}",4.03,-2.09,0.71,4.59,332.51,8.92,6.36,434.9,91570.0
"{'date': '2019-11-05', 'time': '11:10:00'}",4.3,-2.1,-0.03,4.79,334.04,-0.33,6.78,438.8,83024.0
"{'date': '2019-11-05', 'time': '11:11:00'}",4.31,-2.05,-0.37,4.78,334.58,-4.44,5.23,421.7,45785.0
"{'date': '2019-11-05', 'time': '11:12:00'}",4.11,-1.78,-0.73,4.54,336.59,-9.22,7.35,446.9,101786.0
"{'date': '2019-11-05', 'time': '11:13:00'}",4.06,-2.31,1.12,4.8,330.29,13.46,7.35,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '11:14:00'}",5.22,-2.85,2.03,6.28,331.34,18.81,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '11:15:00'}",5.26,-3.07,1.57,6.29,329.73,14.46,5.04,443.4,95383.0
"{'date': '2019-11-05', 'time': '11:16:00'}",5.28,-3.08,1.27,6.24,329.78,11.72,5.31,436.6,85852.0
"{'date': '2019-11-05', 'time': '11:17:00'}",5.26,-3.16,1.03,6.22,329.03,9.51,4.94,426.3,61494.0
"{'date': '2019-11-05', 'time': '11:18:00'}",5.17,-3.17,0.86,6.13,328.52,8.08,5.21,421.4,69630.0
"{'date': '2019-11-05', 'time': '11:19:00'}",5.32,-3.2,0.67,6.25,329.0,6.18,4.93,421.9,69398.0
"{'date': '2019-11-05', 'time': '11:20:00'}",5.25,-3.11,0.27,6.11,329.39,2.56,4.45,421.9,59722.0
"{'date': '2019-11-05', 'time': '11:21:00'}",5.2,-3.14,0.22,6.08,328.88,2.1,4.58,422.6,68984.0
"{'date': '2019-11-05', 'time': '11:22:00'}",5.21,-3.22,0.09,6.12,328.25,0.86,4.74,423.1,74748.0
"{'date': '2019-11-05', 'time': '11:23:00'}",5.12,-3.08,-0.06,5.97,329.01,-0.53,4.59,420.8,58243.0
"{'date': '2019-11-05', 'time': '11:24:00'}",4.89,-2.91,-0.28,5.7,329.26,-2.82,4.62,422.1,60264.0
"{'date': '2019-11-05', 'time': '11:25:00'}",4.88,-2.79,-0.28,5.63,330.24,-2.85,4.9,425.5,78777.0
"{'date': '2019-11-05', 'time': '11:26:00'}",4.79,-2.64,-0.41,5.49,331.14,-4.29,4.68,426.6,83018.0
"{'date': '2019-11-05', 'time': '11:27:00'}",4.87,-3.32,-0.72,5.94,325.68,-6.94,4.85,424.1,75716.0
"{'date': '2019-11-05', 'time': '11:28:00'}",4.93,-3.22,-0.83,5.95,326.84,-8.04,4.25,420.8,60716.0
"{'date': '2019-11-05', 'time': '11:29:00'}",4.92,-2.87,-0.54,5.72,329.7,-5.45,4.81,423.9,83188.0
"{'date': '2019-11-05', 'time': '11:30:00'}",5.22,-2.68,0.08,5.87,332.78,0.77,5.28,425.1,56976.0
"{'date': '2019-11-05', 'time': '11:31:00'}",5.17,-2.7,-0.01,5.83,332.44,-0.13,5.68,426.1,55712.0
"{'date': '2019-11-05', 'time': '11:32:00'}",5.22,-2.75,-0.14,5.9,332.23,-1.34,5.51,425.3,52539.0
"{'date': '2019-11-05', 'time': '11:33:00'}",5.18,-2.88,-0.17,5.93,330.95,-1.65,5.5,426.1,57246.0
"{'date': '2019-11-05', 'time': '11:34:00'}",5.09,-3.12,-0.23,5.98,328.55,-2.18,4.89,424.7,56240.0
"{'date': '2019-11-05', 'time': '11:35:00'}",4.94,-3.27,-0.15,5.93,326.52,-1.47,5.02,424.2,54867.0
"{'date': '2019-11-05', 'time': '11:36:00'}",4.84,-3.23,-0.16,5.82,326.31,-1.6,5.29,425.1,54126.0
"{'date': '2019-11-05', 'time': '11:37:00'}",5.06,-2.98,-0.13,5.87,329.48,-1.23,5.05,423.5,50680.0
"{'date': '2019-11-05', 'time': '11:38:00'}",5.13,-2.92,0.02,5.9,330.35,0.17,4.9,422.6,50123.0
"{'date': '2019-11-05', 'time': '11:39:00'}",5.03,-2.97,-0.01,5.84,329.39,-0.1,4.93,425.3,54234.0
"{'date': '2019-11-05', 'time': '11:40:00'}",5.09,-3.06,0.27,5.95,329.02,2.6,4.32,419.6,48619.0
"{'date': '2019-11-05', 'time': '11:41:00'}",5.53,-2.51,-0.27,6.08,335.61,-2.58,2.39,405.1,31214.0
"{'date': '2019-11-05', 'time': '11:42:00'}",5.6,-2.28,-0.28,6.05,337.79,-2.63,2.95,413.6,39494.0
"{'date': '2019-11-05', 'time': '11:43:00'}",5.65,-2.02,-0.22,6.01,340.34,-2.09,5.04,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '11:44:00'}",5.56,-1.61,-0.3,5.8,343.86,-2.99,5.04,399.3,28267.0
"{'date': '2019-11-05', 'time': '11:45:00'}",5.49,-1.19,-0.61,5.65,347.75,-6.24,3.1,413.8,40994.0
"{'date': '2019-11-05', 'time': '11:46:00'}",5.34,-0.95,-1.2,5.55,349.92,-12.52,3.04,414.3,41433.0
"{'date': '2019-11-05', 'time': '11:47:00'}",5.02,-0.96,-1.7,5.39,349.21,-18.35,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '11:48:00'}",4.85,-1.23,-1.97,5.38,345.81,-21.45,5.05,441.0,99427.0
"{'date': '2019-11-05', 'time': '11:49:00'}",4.67,-1.45,-2.15,5.34,342.73,-23.71,5.75,432.9,85902.0
"{'date': '2019-11-05', 'time': '11:50:00'}",4.64,-1.59,-1.92,5.27,341.12,-21.41,5.14,412.4,48542.0
"{'date': '2019-11-05', 'time': '11:51:00'}",4.04,-1.29,-2.08,4.72,342.23,-26.12,5.49,412.8,56301.0
"{'date': '2019-11-05', 'time': '11:52:00'}",-0.99,2.82,-2.21,3.72,109.38,-36.53,6.12,420.4,78641.0
"{'date': '2019-11-05', 'time': '11:53:00'}",-1.88,3.16,-1.74,4.07,120.7,-25.36,5.49,411.8,76502.0
"{'date': '2019-11-05', 'time': '11:54:00'}",-1.94,2.36,-0.66,3.13,129.41,-12.22,5.01,414.4,112630.0
"{'date': '2019-11-05', 'time': '11:55:00'}",-2.93,2.73,-0.96,4.11,137.05,-13.44,5.75,434.9,178694.0
"{'date': '2019-11-05', 'time': '11:56:00'}",-3.97,2.16,0.35,4.54,151.44,4.42,5.62,419.3,139565.0
"{'date': '2019-11-05', 'time': '11:57:00'}",-3.29,2.77,-1.12,4.44,139.95,-14.59,3.66,397.6,74406.0
"{'date': '2019-11-05', 'time': '11:58:00'}",-4.02,3.57,-0.94,5.46,138.37,-9.9,4.86,420.1,136368.0
"{'date': '2019-11-05', 'time': '11:59:00'}",-3.23,3.62,-2.22,5.33,131.75,-24.59,5.37,422.1,136700.0
"{'date': '2019-11-05', 'time': '12:00:00'}",-3.21,3.59,-2.23,5.31,131.82,-24.88,3.53,410.6,80007.0
"{'date': '2019-11-05', 'time': '12:01:00'}",-2.32,3.13,-2.53,4.65,126.57,-32.98,5.02,422.8,116219.0
"{'date': '2019-11-05', 'time': '12:02:00'}",-0.33,2.87,-3.44,4.49,96.59,-49.92,5.26,430.7,96280.0
"{'date': '2019-11-05', 'time': '12:03:00'}",-0.23,3.03,-3.74,4.83,94.37,-50.89,4.79,422.9,89332.0
"{'date': '2019-11-05', 'time': '12:04:00'}",-0.65,3.02,-3.72,4.83,102.21,-50.32,4.88,420.7,89247.0
"{'date': '2019-11-05', 'time': '12:05:00'}",-0.86,3.28,-3.71,5.03,104.72,-47.63,5.3,427.9,109537.0
"{'date': '2019-11-05', 'time': '12:06:00'}",-1.16,3.49,-3.64,5.17,108.44,-44.68,5.59,428.7,113581.0
"{'date': '2019-11-05', 'time': '12:07:00'}",-0.52,3.05,-4.02,5.07,99.74,-52.43,4.08,416.6,78507.0
"{'date': '2019-11-05', 'time': '12:08:00'}",-0.8,3.16,-3.77,4.99,104.15,-49.14,4.08,418.2,71111.0
"{'date': '2019-11-05', 'time': '12:09:00'}",-3.47,4.06,-1.59,5.57,130.53,-16.63,4.62,421.9,98627.0
"{'date': '2019-11-05', 'time': '12:10:00'}",-4.29,3.57,-0.04,5.58,140.17,-0.4,3.64,411.1,104568.0
"{'date': '2019-11-05', 'time': '12:11:00'}",-4.26,3.58,0.16,5.57,139.98,1.7,3.66,408.3,103967.0
"{'date': '2019-11-05', 'time': '12:12:00'}",-4.46,3.62,0.76,5.79,140.91,7.54,3.79,413.0,124481.0
"{'date': '2019-11-05', 'time': '12:13:00'}",-4.33,3.8,-0.18,5.77,138.71,-1.78,3.03,412.2,97615.0
"{'date': '2019-11-05', 'time': '12:14:00'}",-3.91,4.07,-1.27,5.79,133.88,-12.68,3.25,408.9,92667.0
"{'date': '2019-11-05', 'time': '12:15:00'}",-3.94,3.89,-1.2,5.67,135.35,-12.19,4.14,421.7,164653.0
"{'date': '2019-11-05', 'time': '12:16:00'}",-4.03,3.85,-0.99,5.66,136.32,-10.13,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '12:17:00'}",-4.12,3.68,-0.65,5.56,138.25,-6.72,3.27,390.1,50313.0
"{'date': '2019-11-05', 'time': '12:18:00'}",-3.52,3.27,-1.17,4.94,137.13,-13.66,4.43,413.0,113640.0
"{'date': '2019-11-05', 'time': '12:19:00'}",-3.29,3.12,-1.92,4.93,136.51,-22.9,4.56,415.5,120677.0
"{'date': '2019-11-05', 'time': '12:20:00'}",-3.05,3.38,-2.14,5.03,132.12,-25.19,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '12:21:00'}",-2.33,3.37,-2.8,4.96,124.67,-34.36,5.06,420.7,92223.0
"{'date': '2019-11-05', 'time': '12:22:00'}",-2.25,3.26,-2.85,4.89,124.61,-35.74,5.21,421.9,98336.0
"{'date': '2019-11-05', 'time': '12:23:00'}",-2.35,3.37,-2.51,4.81,124.88,-31.44,4.67,410.9,79845.0
"{'date': '2019-11-05', 'time': '12:24:00'}",-2.31,3.32,-2.56,4.79,124.84,-32.31,5.08,418.6,108148.0
"{'date': '2019-11-05', 'time': '12:25:00'}",-2.35,3.3,-2.48,4.75,125.41,-31.51,6.0,432.8,136584.0
"{'date': '2019-11-05', 'time': '12:26:00'}",-2.47,3.34,-2.71,4.96,126.51,-33.16,5.54,425.1,102552.0
"{'date': '2019-11-05', 'time': '12:27:00'}",-2.61,3.61,-2.69,5.2,125.84,-31.16,4.97,419.7,93525.0
"{'date': '2019-11-05', 'time': '12:28:00'}",-2.67,3.64,-2.59,5.21,126.27,-29.88,5.4,423.9,114153.0
