id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '00:48:00'}",-5.74,0.39,0.5,5.78,176.1,4.99,4.1,395.0,176830.0
"{'date': '2019-11-05', 'time': '00:49:00'}",-5.59,0.48,0.61,5.65,175.13,6.19,3.79,388.3,129221.0
"{'date': '2019-11-05', 'time': '00:50:00'}",-5.64,0.48,0.65,5.69,175.18,6.56,3.9,390.6,119251.0
"{'date': '2019-11-05', 'time': '00:51:00'}",-5.6,0.01,0.91,5.67,179.95,9.25,4.18,396.0,153964.0
"{'date': '2019-11-05', 'time': '00:52:00'}",-5.81,0.32,0.79,5.87,176.84,7.72,4.03,393.1,129769.0
"{'date': '2019-11-05', 'time': '00:53:00'}",-5.87,0.28,0.57,5.91,177.28,5.57,3.57,385.4,103524.0
"{'date': '2019-11-05', 'time': '00:54:00'}",-5.93,0.22,0.35,5.95,177.86,3.37,3.7,386.0,107615.0
"{'date': '2019-11-05', 'time': '00:55:00'}",-5.83,0.17,0.26,5.84,178.32,2.56,3.68,387.7,110985.0
"{'date': '2019-11-05', 'time': '00:56:00'}",-5.77,0.07,-0.1,5.77,179.32,-0.96,3.87,387.3,113569.0
"{'date': '2019-11-05', 'time': '00:57:00'}",-5.68,-0.13,-0.51,5.7,181.35,-5.09,4.01,386.0,113621.0
"{'date': '2019-11-05', 'time': '00:58:00'}",-5.68,-0.22,-0.68,5.72,182.21,-6.8,3.67,383.5,102984.0
"{'date': '2019-11-05', 'time': '00:59:00'}",-5.93,-0.15,-0.33,5.94,181.44,-3.15,3.8,384.4,106184.0
"{'date': '2019-11-05', 'time': '01:00:00'}",-5.84,0.0,-0.2,5.85,179.97,-1.99,4.06,388.4,119767.0
"{'date': '2019-11-05', 'time': '01:01:00'}",-5.85,0.38,0.65,5.9,176.3,6.34,3.86,384.6,102251.0
"{'date': '2019-11-05', 'time': '01:02:00'}",-5.87,0.37,0.65,5.92,176.42,6.29,3.78,386.2,119908.0
"{'date': '2019-11-05', 'time': '01:03:00'}",-5.92,0.28,0.58,5.95,177.29,5.62,3.97,388.8,117099.0
"{'date': '2019-11-05', 'time': '01:04:00'}",-5.85,0.29,0.55,5.88,177.18,5.38,3.06,376.1,73309.0
"{'date': '2019-11-05', 'time': '01:05:00'}",-5.87,0.25,0.61,5.91,177.52,5.88,4.09,390.3,142048.0
"{'date': '2019-11-05', 'time': '01:06:00'}",-5.85,0.18,0.6,5.88,178.19,5.9,3.76,387.3,115655.0
"{'date': '2019-11-05', 'time': '01:07:00'}",-5.77,0.13,0.69,5.81,178.72,6.85,3.65,377.2,70560.0
"{'date': '2019-11-05', 'time': '01:08:00'}",-5.82,0.1,0.72,5.86,178.99,7.01,4.05,391.2,146790.0
"{'date': '2019-11-05', 'time': '01:09:00'}",-5.81,-0.08,0.6,5.84,180.78,5.87,3.81,388.1,124241.0
"{'date': '2019-11-05', 'time': '01:10:00'}",-5.82,-0.17,0.44,5.84,181.67,4.32,3.7,385.9,109816.0
"{'date': '2019-11-05', 'time': '01:11:00'}",-5.72,-0.22,0.53,5.75,182.2,5.32,4.14,391.8,148783.0
"{'date': '2019-11-05', 'time': '01:12:00'}",-5.75,-0.38,0.48,5.78,183.81,4.72,4.2,392.4,144783.0
"{'date': '2019-11-05', 'time': '01:13:00'}",-5.64,-0.5,0.16,5.66,185.08,1.66,3.8,382.6,88346.0
"{'date': '2019-11-05', 'time': '01:14:00'}",-5.63,-0.49,-0.28,5.66,185.01,-2.88,3.41,376.7,74426.0
"{'date': '2019-11-05', 'time': '01:15:00'}",-5.57,-0.44,-0.05,5.58,184.53,-0.52,3.02,381.6,104440.0
"{'date': '2019-11-05', 'time': '01:16:00'}",-5.47,-0.4,0.14,5.49,184.16,1.41,3.06,380.1,91755.0
"{'date': '2019-11-05', 'time': '01:17:00'}",-5.42,-0.6,0.28,5.46,186.29,2.98,3.35,377.9,84165.0
"{'date': '2019-11-05', 'time': '01:18:00'}",-5.18,-0.92,0.33,5.27,190.11,3.57,4.09,388.9,123850.0
"{'date': '2019-11-05', 'time': '01:19:00'}",-5.22,-1.1,0.21,5.34,191.92,2.26,4.09,388.7,123368.0
"{'date': '2019-11-05', 'time': '01:20:00'}",-5.36,-0.91,-0.19,5.44,189.6,-1.97,3.58,381.8,94909.0
"{'date': '2019-11-05', 'time': '01:21:00'}",-5.34,-0.98,-0.08,5.43,190.35,-0.89,4.37,393.0,145022.0
"{'date': '2019-11-05', 'time': '01:22:00'}",-5.08,-1.03,-0.83,5.25,191.46,-9.12,3.65,383.0,107143.0
"{'date': '2019-11-05', 'time': '01:23:00'}",-5.25,-0.84,0.46,5.34,189.13,4.98,3.08,382.7,91430.0
